matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Raheem Sterling,ENG,23.0,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,77.0,4.0,0.0,1.0,0.2,0.2,0.1,5.0,1.0,54.0,66.0,81.8,6.0,69.0,6.0,1.0,0.0,608.0,134.0,33.0,40.0,82.5,10.0,14.0,71.4,2.0,3.0,66.7,0.1,2.0,1.0,2.0,0.0,66.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,21.0,52.0,6.0,77.0,0.0,1.0,100.0,366.0,219.0,5.0,2.0,1.0,2.0,74.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,True,2018-2019,LM,LW,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,23.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,77.0,4.0,0.0,1.0,0.2,0.2,0.1,5.0,1.0,54.0,66.0,81.8,6.0,69.0,6.0,1.0,0.0,608.0,134.0,33.0,40.0,82.5,10.0,14.0,71.4,2.0,3.0,66.7,0.1,2.0,1.0,2.0,0.0,66.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,21.0,52.0,6.0,77.0,0.0,1.0,100.0,366.0,219.0,5.0,2.0,1.0,2.0,74.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,David Silva,ESP,32.0,88.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,82.0,0.0,0.0,0.0,0.6,0.6,0.4,9.0,0.0,65.0,76.0,85.5,10.0,67.0,6.0,0.0,0.0,818.0,213.0,33.0,38.0,86.8,20.0,23.0,87.0,2.0,3.0,66.7,0.3,4.0,5.0,2.0,0.0,74.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,33.0,43.0,9.0,82.0,0.0,0.0,0.0,387.0,228.0,1.0,4.0,0.0,0.0,69.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,True,2018-2019,CM,RM,None,None,0.9777777777777777,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,32.72727272727273,0.0,0.0,0.0,0.0,5.113636363636364,2.0454545454545454,0.0,0.0,83.86363636363636,0.0,0.0,0.0,0.6136363636363636,0.6136363636363636,0.4090909090909091,9.204545454545455,0.0,66.47727272727273,77.72727272727273,87.44318181818183,10.227272727272728,68.52272727272728,6.136363636363637,0.0,0.0,836.5909090909091,217.8409090909091,33.75,38.86363636363637,88.77272727272727,20.454545454545457,23.522727272727273,88.97727272727273,2.0454545454545454,3.0681818181818183,68.2159090909091,0.3068181818181818,4.090909090909091,5.113636363636364,2.0454545454545454,0.0,75.68181818181819,2.0454545454545454,2.0454545454545454,1.0227272727272727,0.0,1.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,1.0227272727272727,0.0,0.0,0.0,0.0,0.0,3.0681818181818183,0.0,3.0681818181818183,0.0,0.0,0.0,1.0227272727272727,0.0,1.0227272727272727,6.136363636363637,33.75,43.97727272727273,9.204545454545455,83.86363636363636,0.0,0.0,0.0,395.79545454545456,233.1818181818182,1.0227272727272727,4.090909090909091,0.0,0.0,70.56818181818183,4.090909090909091,0.0,0.0,3.0681818181818183,1.0227272727272727,0.0,0.0,0.0,3.0681818181818183,1.0227272727272727,0.0,102.27272727272728,1.0,0.3068181818181818,2.4545454545454546,2.0454545454545454,2.0454545454545454,146.25
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Vincent Kompany,BEL,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2018-2019,CB,RM,None,None,0.022222222222222223,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,4500.0,0.0,0.0,0.0,0.0,0.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,4500.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.499999999999998,107.99999999999999,90.0,90.0,6435.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Riyad Mahrez,ALG,27.0,75.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,59.0,0.0,1.0,1.0,0.1,0.1,0.3,5.0,0.0,38.0,46.0,82.6,0.0,49.0,4.0,4.0,3.0,625.0,86.0,18.0,20.0,90.0,8.0,11.0,72.7,6.0,8.0,75.0,0.1,2.0,2.0,2.0,2.0,43.0,3.0,0.0,0.0,1.0,8.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,23.0,33.0,5.0,59.0,75.0,1.0,25.0,295.0,80.0,0.0,5.0,4.0,5.0,49.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,True,2018-2019,RM,None,None,None,0.8333333333333334,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,32.4,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,70.8,0.0,1.2,1.2,0.12,0.12,0.36,6.0,0.0,45.6,55.199999999999996,99.11999999999999,0.0,58.8,4.8,4.8,3.5999999999999996,750.0,103.19999999999999,21.599999999999998,24.0,108.0,9.6,13.2,87.24,7.199999999999999,9.6,90.0,0.12,2.4,2.4,2.4,2.4,51.599999999999994,3.5999999999999996,0.0,0.0,1.2,9.6,0.0,3.5999999999999996,1.2,2.4,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,3.5999999999999996,27.599999999999998,39.6,6.0,70.8,90.0,1.2,30.0,354.0,96.0,0.0,6.0,4.8,6.0,58.8,14.399999999999999,0.0,1.2,1.2,0.0,0.0,0.0,0.0,3.5999999999999996,1.2,1.2,60.0,1.0,0.36,2.88,2.4,2.4,171.6
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Ilkay Gundogan,GER,27.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,85.7,1.0,9.0,1.0,0.0,0.0,159.0,18.0,7.0,7.0,100.0,5.0,5.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,0.0,16.0,0.0,0.0,0.0,61.0,24.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2018-2019,LM,None,None,None,0.16666666666666666,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,162.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,84.0,514.2,6.0,54.0,6.0,0.0,0.0,954.0,108.0,42.0,42.0,600.0,30.0,30.0,600.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,72.0,12.0,6.0,0.0,0.0,12.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,42.0,0.0,96.0,0.0,0.0,0.0,366.0,144.0,6.0,0.0,6.0,0.0,72.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,14.4,12.0,12.0,858.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Fernandinho,BRA,33.0,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,111.0,0.0,0.0,1.0,0.5,0.5,0.1,6.0,0.0,79.0,98.0,80.6,5.0,83.0,3.0,2.0,1.0,1168.0,402.0,38.0,45.0,84.4,29.0,33.0,87.9,5.0,9.0,55.6,0.2,2.0,16.0,0.0,0.0,96.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,16.0,75.0,21.0,2.0,111.0,50.0,1.0,50.0,517.0,281.0,4.0,0.0,1.0,0.0,86.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,60.0,True,2018-2019,DM,CM,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,33.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,111.0,0.0,0.0,1.0,0.5,0.5,0.1,6.0,0.0,79.0,98.0,80.6,5.0,83.0,3.0,2.0,1.0,1168.0,402.0,38.0,45.0,84.4,29.0,33.0,87.9,5.0,9.0,55.6,0.2,2.0,16.0,0.0,0.0,96.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,16.0,75.0,21.0,2.0,111.0,50.0,1.0,50.0,517.0,281.0,4.0,0.0,1.0,0.0,86.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,60.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Benjamin Mendy,FRA,24.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,100.0,108.0,92.6,5.0,69.0,1.0,0.0,0.0,1489.0,353.0,56.0,58.0,96.6,33.0,34.0,97.1,6.0,8.0,75.0,0.1,1.0,9.0,1.0,1.0,87.0,21.0,2.0,0.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,59.0,41.0,0.0,109.0,0.0,0.0,0.0,261.0,134.0,4.0,0.0,1.0,1.0,80.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,True,2018-2019,LB,None,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,100.0,108.0,92.6,5.0,69.0,1.0,0.0,0.0,1489.0,353.0,56.0,58.0,96.6,33.0,34.0,97.1,6.0,8.0,75.0,0.1,1.0,9.0,1.0,1.0,87.0,21.0,2.0,0.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,59.0,41.0,0.0,109.0,0.0,0.0,0.0,261.0,134.0,4.0,0.0,1.0,1.0,80.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Aymeric Laporte,ESP,24.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,116.0,120.0,96.7,16.0,106.0,3.0,0.0,0.0,2086.0,672.0,48.0,48.0,100.0,51.0,51.0,100.0,14.0,16.0,87.5,0.0,0.0,19.0,0.0,0.0,117.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,101.0,12.0,1.0,127.0,0.0,0.0,0.0,650.0,536.0,6.0,0.0,2.0,0.0,108.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0,True,2018-2019,CB,None,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,116.0,120.0,96.7,16.0,106.0,3.0,0.0,0.0,2086.0,672.0,48.0,48.0,100.0,51.0,51.0,100.0,14.0,16.0,87.5,0.0,0.0,19.0,0.0,0.0,117.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,101.0,12.0,1.0,127.0,0.0,0.0,0.0,650.0,536.0,6.0,0.0,2.0,0.0,108.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,John Stones,ENG,24.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,105.0,110.0,95.5,12.0,83.0,3.0,1.0,1.0,1911.0,576.0,33.0,37.0,89.2,55.0,56.0,98.2,10.0,10.0,100.0,0.1,0.0,5.0,0.0,0.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,25.0,90.0,2.0,1.0,117.0,100.0,0.0,0.0,626.0,418.0,0.0,0.0,0.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0,True,2018-2019,CB,RM,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,105.0,110.0,95.5,12.0,83.0,3.0,1.0,1.0,1911.0,576.0,33.0,37.0,89.2,55.0,56.0,98.2,10.0,10.0,100.0,0.1,0.0,5.0,0.0,0.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,25.0,90.0,2.0,1.0,117.0,100.0,0.0,0.0,626.0,418.0,0.0,0.0,0.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Kyle Walker,ENG,28.0,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,95.0,2.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,78.0,90.0,86.7,4.0,56.0,1.0,0.0,0.0,1068.0,250.0,50.0,52.0,96.2,20.0,24.0,83.3,5.0,8.0,62.5,0.0,0.0,7.0,0.0,0.0,78.0,12.0,2.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,12.0,59.0,24.0,0.0,95.0,0.0,0.0,0.0,192.0,71.0,2.0,0.0,0.0,1.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,True,2018-2019,RB,None,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,28.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,95.0,2.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,78.0,90.0,86.7,4.0,56.0,1.0,0.0,0.0,1068.0,250.0,50.0,52.0,96.2,20.0,24.0,83.3,5.0,8.0,62.5,0.0,0.0,7.0,0.0,0.0,78.0,12.0,2.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,12.0,59.0,24.0,0.0,95.0,0.0,0.0,0.0,192.0,71.0,2.0,0.0,0.0,1.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Ederson,BRA,25.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,0.0,15.0,0.0,0.0,0.0,446.0,338.0,6.0,6.0,100.0,13.0,13.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,52.0,44.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,True,2018-2019,GK,None,None,None,1.0,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,0.0,15.0,0.0,0.0,0.0,446.0,338.0,6.0,6.0,100.0,13.0,13.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,52.0,44.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.3,2.4,2.0,2.0,143.0
f708bd31-9251-5a3e-82d5-9a6acf4bbd70,Salomon Rondon,VEN,28.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,10.0,22.0,45.5,0.0,14.0,1.0,1.0,1.0,140.0,33.0,6.0,11.0,54.5,4.0,6.0,66.7,0.0,1.0,0.0,0.3,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,19.0,7.0,3.0,31.0,100.0,0.0,0.0,67.0,21.0,0.0,1.0,2.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,53.8,False,2018-2019,FW,None,None,None,0.8,Manchester City_Newcastle Utd,Manchester City_Newcastle Utd_2018,0.3,2.4,2.0,2.0,2019-11-30,Chris Kavanagh,St. James' Park,Sat,12:30,"49,937",143,draw,draw,90a2201b-0365-59ed-ada4-22f08f926003,35.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,38.75,0.0,0.0,1.25,0.0,0.0,0.5,1.25,1.25,12.5,27.5,56.875,0.0,17.5,1.25,1.25,1.25,175.0,41.25,7.5,13.75,68.125,5.0,7.5,83.375,0.0,1.25,0.0,0.37499999999999994,1.25,0.0,0.0,0.0,26.25,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.5,0.0,2.5,6.25,23.75,8.75,3.75,38.75,125.0,0.0,0.0,83.75,26.25,0.0,1.25,2.5,5.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,8.75,7.5,67.24999999999999,1.0,0.37499999999999994,2.9999999999999996,2.5,2.5,178.75
