matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
1eb3ad27-0890-5844-a641-d68a23f87ae5,Anwar El Ghazi,NED,24,74.0,0,0,0,0,2,0,0,0,33.0,1.0,0,1.0,0.2,0.2,0.0,1.0,0.0,20.0,28.0,71.4,1.0,16.0,0.0,0.0,0.0,339.0,42.0,12.0,12.0,100.0,4.0,6.0,66.7,4.0,7.0,57.1,0.3,0.0,1.0,1.0,1.0,26.0,2.0,0.0,1.0,0.0,6,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,10.0,19.0,3.0,33.0,0.0,0.0,0.0,52.0,23.0,1.0,0.0,0.0,1.0,28.0,9.0,0,0,0,3,0.0,0.0,0,0.0,2.0,3.0,40.0,True,2019-2020,LW,None,None,None,0.8222222222222222,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,0.0,0.0,0.0,1.0,0,Mark Clattenburg,0,0,0,0,8990,Aston Villa,Bournemouth,d89be83f-f712-5b1b-907d-35d3a01382e8,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,40.13513513513514,1.2162162162162162,0.0,1.2162162162162162,0.24324324324324326,0.24324324324324326,0.0,1.2162162162162162,0.0,24.324324324324326,34.054054054054056,86.83783783783785,1.2162162162162162,19.45945945945946,0.0,0.0,0.0,412.2972972972973,51.08108108108108,14.594594594594595,14.594594594594595,121.62162162162163,4.864864864864865,7.297297297297297,81.12162162162163,4.864864864864865,8.513513513513514,69.44594594594595,0.36486486486486486,0.0,1.2162162162162162,1.2162162162162162,1.2162162162162162,31.621621621621625,2.4324324324324325,0.0,1.2162162162162162,0.0,7.297297297297297,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,1.2162162162162162,0.0,0.0,1.2162162162162162,4.864864864864865,12.162162162162163,23.10810810810811,3.6486486486486487,40.13513513513514,0.0,0.0,0.0,63.24324324324325,27.972972972972975,1.2162162162162162,0.0,0.0,1.2162162162162162,34.054054054054056,10.945945945945946,0.0,0.0,0.0,3.6486486486486487,0.0,0.0,0.0,0.0,2.4324324324324325,3.6486486486486487,48.64864864864865,1.0,0.0,0.0,0.0,1.2162162162162162,10933.783783783785
1eb3ad27-0890-5844-a641-d68a23f87ae5,Anwar El Ghazi,NED,24,74.0,0,0,0,0,2,0,0,0,33.0,1.0,0,1.0,0.2,0.2,0.0,1.0,0.0,20.0,28.0,71.4,1.0,16.0,0.0,0.0,0.0,339.0,42.0,12.0,12.0,100.0,4.0,6.0,66.7,4.0,7.0,57.1,0.3,0.0,1.0,1.0,1.0,26.0,2.0,0.0,1.0,0.0,6,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,10.0,19.0,3.0,33.0,0.0,0.0,0.0,52.0,23.0,1.0,0.0,0.0,1.0,28.0,9.0,0,0,0,3,0.0,0.0,0,0.0,2.0,3.0,40.0,True,2019-2020,LW,None,None,None,0.8222222222222222,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,0.0,0.0,1.0,2.0,0,Martin Atkinson,0,0,0,0,9303,Bournemouth,Aston Villa,71627eeb-0b3c-57c4-8b66-699ba541fa69,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,40.13513513513514,1.2162162162162162,0.0,1.2162162162162162,0.24324324324324326,0.24324324324324326,0.0,1.2162162162162162,0.0,24.324324324324326,34.054054054054056,86.83783783783785,1.2162162162162162,19.45945945945946,0.0,0.0,0.0,412.2972972972973,51.08108108108108,14.594594594594595,14.594594594594595,121.62162162162163,4.864864864864865,7.297297297297297,81.12162162162163,4.864864864864865,8.513513513513514,69.44594594594595,0.36486486486486486,0.0,1.2162162162162162,1.2162162162162162,1.2162162162162162,31.621621621621625,2.4324324324324325,0.0,1.2162162162162162,0.0,7.297297297297297,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,1.2162162162162162,0.0,0.0,1.2162162162162162,4.864864864864865,12.162162162162163,23.10810810810811,3.6486486486486487,40.13513513513514,0.0,0.0,0.0,63.24324324324325,27.972972972972975,1.2162162162162162,0.0,0.0,1.2162162162162162,34.054054054054056,10.945945945945946,0.0,0.0,0.0,3.6486486486486487,0.0,0.0,0.0,0.0,2.4324324324324325,3.6486486486486487,48.64864864864865,1.0,0.0,0.0,1.2162162162162162,2.4324324324324325,11314.45945945946
1eb3ad27-0890-5844-a641-d68a23f87ae5,Jota,ESP,28,16.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,0.0,0.0,136.0,63.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,50.0,0.2,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,13.0,0.0,0.0,0.0,103.0,76.0,3.0,0.0,1.0,0.0,12.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LW,RM,None,None,0.17777777777777778,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,2.0,1.6,1.0,2.0,2019-08-17,Martin Atkinson,Villa Park,Sat,15:00,"40,996",13,Bournemouth,Aston Villa,8a6ff262-158b-5afc-9413-0252fa5f023d,157.5,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,73.125,0.0,0.0,0.0,0.0,0.0,0.5625,11.25,0.0,45.0,61.875,408.9375,11.25,61.875,16.875,0.0,0.0,765.0,354.375,22.5,28.125,450.0,16.875,22.5,421.875,5.625,11.25,281.25,1.125,5.625,5.625,5.625,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.625,0.0,73.125,0.0,0.0,0.0,579.375,427.5,16.875,0.0,5.625,0.0,67.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.25,9.0,5.625,11.25,73.125
1eb3ad27-0890-5844-a641-d68a23f87ae5,Jota,ESP,28,16.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,0.0,0.0,136.0,63.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,50.0,0.2,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,13.0,0.0,0.0,0.0,103.0,76.0,3.0,0.0,1.0,0.0,12.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LW,RM,None,None,0.17777777777777778,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,2.2,1.7,2.0,1.0,2020-02-01,Anthony Taylor,Vitality Stadium,Sat,15:00,"10,722",270,Bournemouth,Aston Villa,c1fbfd13-65e9-5885-a86b-fa8d749051d7,157.5,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,73.125,0.0,0.0,0.0,0.0,0.0,0.5625,11.25,0.0,45.0,61.875,408.9375,11.25,61.875,16.875,0.0,0.0,765.0,354.375,22.5,28.125,450.0,16.875,22.5,421.875,5.625,11.25,281.25,1.125,5.625,5.625,5.625,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.625,0.0,73.125,0.0,0.0,0.0,579.375,427.5,16.875,0.0,5.625,0.0,67.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.375,9.5625,11.25,5.625,1518.75
1eb3ad27-0890-5844-a641-d68a23f87ae5,Jota,ESP,28,16.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,0.0,0.0,136.0,63.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,50.0,0.2,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,13.0,0.0,0.0,0.0,103.0,76.0,3.0,0.0,1.0,0.0,12.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LW,RM,None,None,0.17777777777777778,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,0.6,0.7,2.0,0.0,2022-08-06,Peter Bankes,Vitality Stadium,Sat,15:00,"11,013",5,Bournemouth,Aston Villa,76f6ae8b-9415-515b-9411-643f42c1808a,157.5,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,73.125,0.0,0.0,0.0,0.0,0.0,0.5625,11.25,0.0,45.0,61.875,408.9375,11.25,61.875,16.875,0.0,0.0,765.0,354.375,22.5,28.125,450.0,16.875,22.5,421.875,5.625,11.25,281.25,1.125,5.625,5.625,5.625,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.625,0.0,73.125,0.0,0.0,0.0,579.375,427.5,16.875,0.0,5.625,0.0,67.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3749999999999996,3.9374999999999996,11.25,0.0,28.125
1eb3ad27-0890-5844-a641-d68a23f87ae5,Jota,ESP,28,16.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,0.0,0.0,136.0,63.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,50.0,0.2,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,13.0,0.0,0.0,0.0,103.0,76.0,3.0,0.0,1.0,0.0,12.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LW,RM,None,None,0.17777777777777778,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,3.5,1.3,3.0,0.0,2023-03-18,Robert Jones,Villa Park,Sat,15:00,"41,021",299,Aston Villa,Bournemouth,53a6f363-3bde-559f-8b4c-aa401da0a26c,157.5,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,73.125,0.0,0.0,0.0,0.0,0.0,0.5625,11.25,0.0,45.0,61.875,408.9375,11.25,61.875,16.875,0.0,0.0,765.0,354.375,22.5,28.125,450.0,16.875,22.5,421.875,5.625,11.25,281.25,1.125,5.625,5.625,5.625,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.625,0.0,73.125,0.0,0.0,0.0,579.375,427.5,16.875,0.0,5.625,0.0,67.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.6875,7.3125,16.875,0.0,1681.875
1eb3ad27-0890-5844-a641-d68a23f87ae5,Jota,ESP,28,16.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,0.0,0.0,136.0,63.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,50.0,0.2,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,13.0,0.0,0.0,0.0,103.0,76.0,3.0,0.0,1.0,0.0,12.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LW,RM,None,None,0.17777777777777778,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,0.0,0.0,0.0,1.0,0,Mark Clattenburg,0,0,0,0,8990,Aston Villa,Bournemouth,d89be83f-f712-5b1b-907d-35d3a01382e8,157.5,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,73.125,0.0,0.0,0.0,0.0,0.0,0.5625,11.25,0.0,45.0,61.875,408.9375,11.25,61.875,16.875,0.0,0.0,765.0,354.375,22.5,28.125,450.0,16.875,22.5,421.875,5.625,11.25,281.25,1.125,5.625,5.625,5.625,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.625,0.0,73.125,0.0,0.0,0.0,579.375,427.5,16.875,0.0,5.625,0.0,67.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.625,50568.75
1eb3ad27-0890-5844-a641-d68a23f87ae5,Jota,ESP,28,16.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,0.0,0.0,136.0,63.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,50.0,0.2,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,13.0,0.0,0.0,0.0,103.0,76.0,3.0,0.0,1.0,0.0,12.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LW,RM,None,None,0.17777777777777778,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,0.0,0.0,1.0,2.0,0,Martin Atkinson,0,0,0,0,9303,Bournemouth,Aston Villa,71627eeb-0b3c-57c4-8b66-699ba541fa69,157.5,0.0,0.0,0.0,0.0,5.625,5.625,0.0,0.0,73.125,0.0,0.0,0.0,0.0,0.0,0.5625,11.25,0.0,45.0,61.875,408.9375,11.25,61.875,16.875,0.0,0.0,765.0,354.375,22.5,28.125,450.0,16.875,22.5,421.875,5.625,11.25,281.25,1.125,5.625,5.625,5.625,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.625,0.0,73.125,0.0,0.0,0.0,579.375,427.5,16.875,0.0,5.625,0.0,67.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.625,11.25,52329.375
1eb3ad27-0890-5844-a641-d68a23f87ae5,Trezeguet,EGY,24,86.0,0,0,0,0,3,1,0,0,38.0,1.0,0,0.0,0.6,0.6,0.0,3.0,0.0,22.0,29.0,75.9,2.0,35.0,5.0,2.0,1.0,344.0,78.0,12.0,12.0,100.0,7.0,12.0,58.3,2.0,3.0,66.7,0.1,0.0,1.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,25.0,6.0,38.0,50.0,1.0,50.0,191.0,96.0,2.0,2.0,4.0,2.0,37.0,14.0,0,2,1,0,0.0,0.0,0,2.0,1.0,2.0,33.3,True,2019-2020,RW,None,None,None,0.9555555555555556,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,2.0,1.6,1.0,2.0,2019-08-17,Martin Atkinson,Villa Park,Sat,15:00,"40,996",13,Bournemouth,Aston Villa,8a6ff262-158b-5afc-9413-0252fa5f023d,25.11627906976744,0.0,0.0,0.0,0.0,3.13953488372093,1.0465116279069766,0.0,0.0,39.76744186046511,1.0465116279069766,0.0,0.0,0.6279069767441859,0.6279069767441859,0.0,3.13953488372093,0.0,23.023255813953487,30.348837209302324,79.43023255813954,2.093023255813953,36.627906976744185,5.232558139534883,2.093023255813953,1.0465116279069766,360.0,81.62790697674419,12.55813953488372,12.55813953488372,104.65116279069767,7.325581395348837,12.55813953488372,61.01162790697674,2.093023255813953,3.13953488372093,69.80232558139535,0.10465116279069768,0.0,1.0465116279069766,1.0465116279069766,1.0465116279069766,27.209302325581394,3.13953488372093,0.0,0.0,0.0,4.186046511627906,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,1.0465116279069766,0.0,1.0465116279069766,1.0465116279069766,104.65116279069767,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,2.093023255813953,3.13953488372093,10.465116279069766,26.162790697674417,6.27906976744186,39.76744186046511,52.325581395348834,1.0465116279069766,52.325581395348834,199.88372093023256,100.46511627906976,2.093023255813953,2.093023255813953,4.186046511627906,2.093023255813953,38.72093023255814,14.651162790697674,0.0,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,2.093023255813953,1.0465116279069766,2.093023255813953,34.848837209302324,1.0,2.093023255813953,1.6744186046511629,1.0465116279069766,2.093023255813953,13.604651162790697
1eb3ad27-0890-5844-a641-d68a23f87ae5,Trezeguet,EGY,24,86.0,0,0,0,0,3,1,0,0,38.0,1.0,0,0.0,0.6,0.6,0.0,3.0,0.0,22.0,29.0,75.9,2.0,35.0,5.0,2.0,1.0,344.0,78.0,12.0,12.0,100.0,7.0,12.0,58.3,2.0,3.0,66.7,0.1,0.0,1.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,25.0,6.0,38.0,50.0,1.0,50.0,191.0,96.0,2.0,2.0,4.0,2.0,37.0,14.0,0,2,1,0,0.0,0.0,0,2.0,1.0,2.0,33.3,True,2019-2020,RW,None,None,None,0.9555555555555556,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,2.2,1.7,2.0,1.0,2020-02-01,Anthony Taylor,Vitality Stadium,Sat,15:00,"10,722",270,Bournemouth,Aston Villa,c1fbfd13-65e9-5885-a86b-fa8d749051d7,25.11627906976744,0.0,0.0,0.0,0.0,3.13953488372093,1.0465116279069766,0.0,0.0,39.76744186046511,1.0465116279069766,0.0,0.0,0.6279069767441859,0.6279069767441859,0.0,3.13953488372093,0.0,23.023255813953487,30.348837209302324,79.43023255813954,2.093023255813953,36.627906976744185,5.232558139534883,2.093023255813953,1.0465116279069766,360.0,81.62790697674419,12.55813953488372,12.55813953488372,104.65116279069767,7.325581395348837,12.55813953488372,61.01162790697674,2.093023255813953,3.13953488372093,69.80232558139535,0.10465116279069768,0.0,1.0465116279069766,1.0465116279069766,1.0465116279069766,27.209302325581394,3.13953488372093,0.0,0.0,0.0,4.186046511627906,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,1.0465116279069766,0.0,1.0465116279069766,1.0465116279069766,104.65116279069767,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,2.093023255813953,3.13953488372093,10.465116279069766,26.162790697674417,6.27906976744186,39.76744186046511,52.325581395348834,1.0465116279069766,52.325581395348834,199.88372093023256,100.46511627906976,2.093023255813953,2.093023255813953,4.186046511627906,2.093023255813953,38.72093023255814,14.651162790697674,0.0,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,2.093023255813953,1.0465116279069766,2.093023255813953,34.848837209302324,1.0,2.302325581395349,1.7790697674418603,2.093023255813953,1.0465116279069766,282.5581395348837
1eb3ad27-0890-5844-a641-d68a23f87ae5,Trezeguet,EGY,24,86.0,0,0,0,0,3,1,0,0,38.0,1.0,0,0.0,0.6,0.6,0.0,3.0,0.0,22.0,29.0,75.9,2.0,35.0,5.0,2.0,1.0,344.0,78.0,12.0,12.0,100.0,7.0,12.0,58.3,2.0,3.0,66.7,0.1,0.0,1.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,25.0,6.0,38.0,50.0,1.0,50.0,191.0,96.0,2.0,2.0,4.0,2.0,37.0,14.0,0,2,1,0,0.0,0.0,0,2.0,1.0,2.0,33.3,True,2019-2020,RW,None,None,None,0.9555555555555556,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019,0.6,0.7,2.0,0.0,2022-08-06,Peter Bankes,Vitality Stadium,Sat,15:00,"11,013",5,Bournemouth,Aston Villa,76f6ae8b-9415-515b-9411-643f42c1808a,25.11627906976744,0.0,0.0,0.0,0.0,3.13953488372093,1.0465116279069766,0.0,0.0,39.76744186046511,1.0465116279069766,0.0,0.0,0.6279069767441859,0.6279069767441859,0.0,3.13953488372093,0.0,23.023255813953487,30.348837209302324,79.43023255813954,2.093023255813953,36.627906976744185,5.232558139534883,2.093023255813953,1.0465116279069766,360.0,81.62790697674419,12.55813953488372,12.55813953488372,104.65116279069767,7.325581395348837,12.55813953488372,61.01162790697674,2.093023255813953,3.13953488372093,69.80232558139535,0.10465116279069768,0.0,1.0465116279069766,1.0465116279069766,1.0465116279069766,27.209302325581394,3.13953488372093,0.0,0.0,0.0,4.186046511627906,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,1.0465116279069766,0.0,1.0465116279069766,1.0465116279069766,104.65116279069767,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,2.093023255813953,3.13953488372093,10.465116279069766,26.162790697674417,6.27906976744186,39.76744186046511,52.325581395348834,1.0465116279069766,52.325581395348834,199.88372093023256,100.46511627906976,2.093023255813953,2.093023255813953,4.186046511627906,2.093023255813953,38.72093023255814,14.651162790697674,0.0,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,2.093023255813953,1.0465116279069766,2.093023255813953,34.848837209302324,1.0,0.6279069767441859,0.7325581395348837,2.093023255813953,0.0,5.232558139534883
